name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
Fp1	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
Fp2	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
Fpz	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
AFp1	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
AFp2	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
AF3	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
AF4	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
AF7	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
AF8	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
F9	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
F10	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
AFF2h	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
AFF1h	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
AFF5h	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
AFF6h	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
F1	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
F2	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
F3	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
F4	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
F5	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
F6	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
F7	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
F8	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
Fz	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
FFC1h	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
FFC2h	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
FFC3h	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
FFC4h	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
FFC5h	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
FFC6h	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
FFT7h	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
FFT8h	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
FFT9h	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
FFT10h	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
FC1	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
FC2	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
FC3	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
FC4	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
FC5	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
FC6	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
FT7	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
FT8	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
FT9	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
FT10	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
FCz	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
FCC1h	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
FCC2h	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
FCC3h	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
FCC4h	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
FCC5h	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
FCC6h	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
FTT7h	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
FTT8h	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
C1	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
C2	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
C3	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
C4	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
C5	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
C6	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
T7	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
T8	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
CCP1h	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
CCP2h	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
CCP3h	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
CCP4h	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
CCP5h	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
CCP6h	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
TTP7h	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
TTP8h	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
Cz	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
CPz	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
CP1	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
CP2	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
CP3	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
CP4	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
CP5	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
CP6	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
TP7	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
TP8	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
CPP1h	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
CPP2h	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
CPP3h	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
CPP4h	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
CPP5h	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
CPP6h	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
TPP7h	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
TPP8h	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
TPP9h	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
TPP10h	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
Pz	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
P1	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
P2	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
P3	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
P4	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
P5	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
P6	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
P7	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
P8	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
P9	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
P10	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
PPO1h	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
PPO2h	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
PPO5h	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
PPO6h	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
PPO9h	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
PPO10h	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
POz	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
PO3	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
PO4	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
PO5	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
PO6	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
PO7	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
PO8	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
PO9	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
PO10	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
POO1	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
POO2	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
O1	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
O2	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
Oz	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
O9	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
O10	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
POO9h	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
POO10h	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
OI1h	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
OI2h	EEG	µV	0.0		ElectroEncephaloGram	500.0	good	
